,title,tel_num,adres,website
0,Özçınar Alış Veriş Merkezi (mamak şube),+90 850 420 5151,"Bahçeleriçi, Mamak Cd. No:221, 06260 Mamak/Ankara, Türkiye",http://www.ozcinarankara.com/
1,"#Akdere mobilya İmalatcisi,#Mamak Mobilya İmalatçısı,#Mamak vestiyer İmalatçısı,#Mamak mutfak dolabı,#Akdere Vestiyer imalatçısı,#Akdere mutfak dolabı,#Akdere mobilyacı,",+90 534 687 98 73,"Kutlu, Dereboyu Cd. 99/D, 06630 Çankaya/Ankara, Turkey",https://website--5736443630206698939195-furnituremaker.business.site/?utm_source=gmb&utm_medium=referral
2,Hekahome | Kurtoğlu Mobilya,+90 312 319 66 71,"Gülseren, Plevne Cd. No:268, 06100 Mamak/Ankara, Turkey",https://hekahome.com/
3,Özeller AVM - Mamak Çarşı Şubesi,+90 312 369 29 29,"Hüseyingazi, Mamak Çarşı İçi Cd. No:45/C, 06260 Mamak/Ankara, Turkey",http://www.ozeller.com/
4,AYKUR MOBİLYA,+90 555 802 88 49,"Durali Alıç Mah. Sultan Fatih Caddesi 969. Sokak No: 1A 06480, 06260 Mamak/Ankara, Turkey",https://istikbal.com.tr/
5,Ergül Mobilya Rengi alem Mamak Şubesi,+90 312 368 00 80,"Harman, MAMAK ŞUBESİ, Abdülhakhamit Cd. No:116, 06260 Mamak/Ankara, Türkiye",http://www.rengialem.com.tr/
6,NAMALAN HALI MOBİLYA,+90 312 368 13 66,"Bahçeleriçi, Mamak Cd. No:219 D:B, 06260 Mamak/Ankara, Türkiye",#
7,Kilim Mobilya Mamak,+90 312 373 00 70,"Yeşilbayır, Sağduyu Cd. No:22, 06630 Mamak/Ankara, Türkiye",#
8,BARAN MOBİLYA,+90 543 505 04 42,"Akşemsettin, 1080. Cd. NO:5/A, 06480 Mamak/Ankara, Türkiye",http://www.mobilyankaraa.wixsite.com/baranmobilya
9,Gündem Mobilya,,,
10,Modalife Nato Yolu,+90 312 389 69 17,"General Zeki Doğan, Natoyolu Caddesı No:4/A, 06630 Mamak/Ankara, Türkiye",http://www.modalife.com/
11,Modalife Akdere,+90 312 367 67 35,"Akdere, Mehmet Ali Altın Cd 44 / A, 06630 Mamak/Ankara, Turkey",http://www.modalife.com/
12,ÖZÇİÇEK,+90 312 390 11 90,"General Zeki Doğan, Mahallesi, Natoyolu Caddesı No:110 D:A, 06630 Mamak/Ankara, Turkey",https://ozcicek.business.site/
13,Modalife Saimekadın,+90 312 365 00 02,"Şafaktepe, Hakan Sokağı No:81, 06620 Mamak/Ankara, Türkiye",http://www.modalife.com/
14,Alice Mamak Natoyolu Modern Mobilya Mağazasi Siteler Ankara - Düğün Paketi -Köşe Koltuk Takımları-Yatak Baza Başlık-Yemek Odasi-Tv Ünitesi-Çocuk Genç Odası,,,
15,Solmaz Mobilya,+90 507 332 34 96,"Şahintepe, Anadolu Cd. no:57, 06470 Mamak/Ankara, Turkey",https://solmaz-mobilya.business.site/?utm_source=gmb&utm_medium=referral
16,Özeller AVM - Yeşilbayır Şubesi,+90 312 372 03 72,"Yeşilbayır, Sağduyu Cd., 06480 Mamak/Ankara, Turkey",https://www.ozeller.com/
17,Özeller AVM - Mamak Mobilya Avm Şubesi,,,
18,MOBİLYAMODA,+90 312 391 62 92,"General Zeki Doğan, Natoyolu Caddesı No:104 D:A, 06630 Mamak/Ankara, Türkiye",https://ozcicek.business.site/
19,Ak Kartallar Mobilya,+90 312 367 14 07,"Aşık Veysel, Tıp Fakültesi Cd. No:100, 06620 Mamak/Ankara, Türkiye",#
